"","name","position","points","total_rebounds","assists","steals","blocks","MFG","MFT","TO","games","EFF","salary"
"102","Devin Harris","PG",487,138,118,60,13,-207,-39,-66,64,3.50991482682349,4053000
"103","Dirk Nowitzki","PF",1372,489,132,52,52,-614,-30,-84,75,6.64798415458116,8333334
"104","Dwight Powell","PF",399,273,44,36,24,-150,-37,-40,69,3.26971620352011,845059
"105","J.J. Barea","PG",808,152,302,26,2,-394,-22,-113,74,3.62915499049466,4e+06
"106","JaVale McGee","C",172,133,3,5,26,-57,-18,-21,34,2.28175294202118,13270964
"107","Jeremy Evans","SF",71,54,2,6,9,-22,-6,-7,30,1.31231408648949,1100602
"108","John Jenkins","SG",69,22,9,3,0,-41,-1,-11,21,1.36207398528219,15851950
"109","Justin Anderson","SF",208,132,29,19,25,-104,-11,-24,55,2.15752758477181,99418
"110","Raymond Felton","PG",763,258,284,68,15,-405,-27,-121,80,4.30487992448923,1252440
"111","Salah Mejri","C",125,123,10,8,36,-29,-19,-23,34,2.34651101906547,1646400
"112","Wesley Matthews","SF",977,238,151,78,17,-523,-20,-78,78,4.61330027767651,16400000
"113","Zaza Pachulia","C",650,718,128,64,22,-251,-64,-119,76,5.23237555179186,5200000
"114","Axel Toupane","SF",76,31,15,7,6,-45,-4,-6,21,1.83323413353524,148552
"115","Danilo Gallinari","SF",1036,281,135,42,19,-413,-57,-77,53,6.7913820970846,1.4e+07
"116","Darrell Arthur","PF",527,293,96,53,48,-268,-13,-66,70,4.37420526742201,2814000
"117","Emmanuel Mudiay","PG",872,232,372,65,35,-576,-69,-217,68,7.02628015378343,3102240
"118","Gary Harris","SG",932,220,147,97,18,-406,-24,-98,76,5.35297772035774,1587480
"119","Jameer Nelson","PG",299,115,190,25,5,-194,-5,-66,39,3.99897547066897,4500000
"120","Joffrey Lauvergne","C",465,290,56,13,15,-185,-7,-54,59,3.04214906227909,2943221
"121","Jusuf Nurkic","C",263,175,40,24,44,-141,-38,-55,32,5.41889989832672,3333333
"122","Kenneth Faried","PF",835,581,79,32,60,-277,-86,-91,67,6.53916035976159,2e+06
"123","Kostas Papanikolaou","SF",67,40,16,13,5,-42,-5,-21,26,1.9818703827446,4988025
"124","Mike Miller","SF",63,53,40,13,4,-40,0,-17,47,1.13706361053211,947276
"125","Nikola Jokic","C",796,560,189,79,50,-293,-36,-104,80,5.36995691580461,5543725
"126","Will Barton","SG",1178,476,203,71,39,-558,-52,-139,82,7.28204232193466,3333333
"127","Andre Drummond","C",1314,1198,67,119,112,-508,-378,-155,81,9.44415380891534,3272091
"128","Anthony Tolliver","PF",383,229,52,26,16,-204,-18,-28,72,2.61588488494227,3e+06
"129","Aron Baynes","C",514,384,51,21,52,-190,-39,-67,81,2.95546052925158,6500000
"130","Brandon Jennings","PG",157,46,70,11,2,-90,-11,-22,23,3.10444872494546,8344497
"131","Darrun Hilliard","SG",152,45,27,9,1,-79,-11,-19,38,1.90203692983145,525093
"132","Ersan Ilyasova","PF",589,282,55,38,27,-292,-30,-59,52,5.38018152666114,7900000
"133","Jodie Meeks","SG",22,5,3,0,0,-13,0,-1,3,2.06741262581784,6270000
"134","Joel Anthony","C",18,21,1,2,12,-4,-2,-2,19,0.785623135000755,1709720
"135","Justin Harper","PF",13,1,0,1,0,-6,-1,-2,5,1.08603092666164,947300
"136","Kentavious Caldwell-Pope","SG",1105,282,138,110,17,-557,-43,-105,76,6.43786245312637,20158622
"137","Marcus Morris","SF",1131,404,201,67,23,-535,-68,-140,80,6.13764032036291,3431040
"138","Reggie Bullock","SF",122,68,27,10,2,-55,-1,-8,37,1.38797291598038,1.4e+07
"139","Reggie Jackson","PG",1489,253,492,59,11,-704,-46,-223,79,6.36309878520775,1499000
"140","Spencer Dinwiddie","PG",58,17,22,3,0,-35,-14,-7,12,2.63611896879832,845059
"141","Stanley Johnson","SF",593,306,118,55,12,-375,-22,-114,73,4.333004204399,2841960
"142","Steve Blake","PG",254,89,200,24,5,-147,-4,-81,58,2.5189818647681,2170465
"143","Tobias Harris","PF",447,168,70,18,12,-182,-8,-30,27,6.2023175775786,1.6e+07
"144","Andre Iguodala","SF",457,263,219,73,19,-192,-32,-79,65,4.78908069466153,11710456
"145","Andrew Bogut","C",375,492,162,33,114,-104,-26,-83,70,4.4830539246278,1.2e+07
"146","Brandon Rush","SG",305,181,57,20,23,-149,-10,-33,72,2.62900864016899,1270964
"147","Draymond Green","PF",1131,769,598,119,113,-418,-100,-259,81,11.5861023208317,14300000
"148","Festus Ezeli","C",320,257,32,18,50,-103,-62,-38,46,3.77185740806955,2008748
"149","Harrison Barnes","SF",774,325,117,41,10,-338,-32,-57,66,4.46899409227314,3873398
"150","Ian Clark","SG",236,68,64,17,13,-113,-6,-43,66,1.99047691293661,947276
"151","James Michael McAdoo","PF",117,58,17,10,8,-39,-23,-16,41,1.88112155029576,845059
"152","Kevon Looney","PF",9,10,0,0,0,-3,0,-1,5,0.679834758172695,1.5e+07
"153","Klay Thompson","SG",1771,306,166,60,49,-735,-28,-138,80,7.3133571686415,2.5e+07
"154","Leandro Barbosa","SG",433,117,82,44,10,-199,-10,-53,68,2.9822009327093,22971000
"155","Marreese Speights","C",512,239,61,19,34,-259,-20,-66,72,3.04316847762219,7e+06
"156","Shaun Livingston","PG",488,169,237,57,27,-176,-13,-78,78,3.1841816438014,845059
"157","Stephen Curry","PG",2375,430,527,169,15,-793,-37,-262,79,8.91260551158445,11370786
"158","Andrew Goudelock","PG",22,2,4,6,2,-11,-1,-7,8,1.77719888675216,200600
"159","Chuck Hayes","C",4,8,2,0,0,-1,0,-3,2,1.97035465591112,83583
"160","Clint Capela","C",542,494,47,59,92,-166,-131,-60,77,4.37035852702513,1242720
"161","Corey Brewer","SF",590,199,109,84,19,-340,-35,-78,82,3.73626864523588,8200000
"162","Donatas Motiejunas","PF",230,109,41,17,5,-115,-19,-44,37,3.64699548306627,2288205
"163","Dwight Howard","C",976,835,98,69,113,-228,-242,-166,71,7.93318823779447,22359364
"164","James Harden","SG",2376,501,612,139,51,-907,-117,-374,82,13.4894197308716,15756438
"165","Jason Terry","SG",422,79,103,47,9,-225,-6,-49,72,2.7135400724919,1499187
"166","K.J. McDaniels","SF",89,42,10,7,6,-43,-6,-17,37,1.27315216073842,5703600
"167","Michael Beasley","SF",255,98,16,11,9,-98,-11,-24,20,4.61365658546981,2399040
"168","Montrezl Harrell","PF",140,65,17,11,11,-32,-22,-17,39,2.0942374537938,2357760
"169","Patrick Beverley","PG",700,250,239,94,26,-336,-28,-91,71,4.84216235552343,3578947
"170","Sam Dekker","SF",0,1,0,1,0,0,0,0,3,0.30381849691315,1300000
"171","Terrence Jones","PF",434,211,41,23,39,-201,-39,-49,50,4.63047002701819,2489530
"172","Trevor Ariza","SF",1025,366,188,160,26,-502,-35,-113,81,6.08448762034707,8193030
"173","C.J. Miles","SF",753,175,63,53,29,-375,-31,-70,64,4.40092197579555,4394225
"174","Chase Budinger","SF",216,121,49,29,9,-113,-14,-31,49,2.55950944120483,5258082
"175","George Hill","PG",894,298,259,83,17,-413,-36,-101,74,5.02067984868657,8e+06
"176","Glenn Robinson","SF",171,68,26,17,9,-86,-12,-18,45,1.86942568480586,845000
"177","Ian Mahinmi","C",660,507,104,65,75,-184,-93,-100,71,5.33328217222678,4e+06
"178","Joe Young","PG",154,50,65,15,0,-107,-5,-33,41,1.78681362919092,2500000
"179","Jordan Hill","C",645,451,87,36,37,-271,-36,-92,73,4.20017801683433,234748
"180","Lavoy Allen","PF",428,424,76,26,42,-179,-27,-69,79,3.54264668781997,2500000
"181","Monta Ellis","SG",1121,271,383,150,37,-585,-44,-203,81,8.27879369762644,1e+06
"182","Myles Turner","C",619,332,41,25,86,-266,-33,-67,60,4.50150032296212,44000
"183","Paul George","SF",1874,563,329,152,29,-844,-74,-265,81,9.73861427456751,1.9e+07
"184","Rakeem Christmas","PF",4,1,0,0,0,0,0,0,1,0.451301681508234,2170465
"185","Rodney Stuckey","PG",517,156,142,43,8,-260,-27,-76,58,3.76388058199891,1335480
"186","Shayne Whittington","PF",11,12,3,1,1,-6,-1,-5,7,1.53282038106762,845059
"187","Solomon Hill","SF",246,166,57,37,11,-115,-6,-33,59,2.37427692074557,1358880
"188","Ty Lawson","PG",64,31,57,10,1,-39,-3,-13,13,3.16761300263395,12669553
"189","Alex Stepheson","PF",2,2,0,0,2,0,-2,0,4,0.909114885969873,92664
"190","Austin Rivers","SG",593,130,99,48,9,-290,-37,-61,67,4.0250993815871,3100000
"191","Blake Griffin","PF",749,294,170,28,17,-302,-53,-83,35,10.0771415091679,18907725
"192","Branden Dawson","PF",5,4,0,0,1,-3,0,0,6,0.36561410774134,525093
"193","C.J. Wilcox","SG",70,12,10,10,2,-40,-3,-2,23,1.39876439198014,1159680
"194","Chris Paul","PG",1446,310,738,152,13,-599,-34,-194,74,7.85071330567843,21468696
"195","Cole Aldrich","C",328,288,50,47,68,-91,-24,-64,60,3.71452974756816,1100600
"196","DeAndre Jordan","C",980,1059,90,51,177,-151,-353,-107,77,7.68757616690181,19500000
"197","J.J. Redick","SG",1226,139,106,42,5,-458,-23,-78,75,4.32608821170462,6867000
"198","Jamal Crawford","SG",1120,145,183,52,12,-560,-26,-113,79,5.00226178634892,5675000
"199","Jeff Ayres","C",30,22,5,0,3,-11,0,-6,17,0.810273450791599,317232
"200","Jeff Green","SF",293,91,40,18,21,-153,-25,-24,27,5.01510484722823,9200000
"201","Josh Smith","PF",181,125,42,18,34,-111,-17,-41,32,4.71764790658447,10595507
"202","Lance Stephenson","SF",204,108,60,24,3,-84,-9,-48,43,2.71953226848103,1650000
"203","Luc Mbah a Moute","PF",231,171,30,44,19,-113,-27,-34,75,2.37753592475793,1842000
"204","Pablo Prigioni","PG",145,114,130,53,1,-92,-1,-49,59,2.14080385195969,525093
"205","Paul Pierce","SF",417,186,71,33,17,-253,-12,-58,68,2.93582256126112,284183
"206","Wesley Johnson","SF",549,248,49,89,56,-307,-16,-54,80,3.66634611336306,1100600
"207","Anthony Brown","SF",115,70,19,14,5,-87,-3,-15,29,2.21108336448451,7e+05
"208","Brandon Bass","PF",473,285,74,33,55,-143,-23,-42,66,3.77763023062451,3e+06
"209","D'Angelo Russell","PG",1054,274,266,93,13,-564,-50,-196,80,5.57460375342035,5103120
"210","Jordan Clarkson","SG",1225,313,192,88,7,-623,-40,-135,79,6.45157420159343,191456
"211","Julius Randle","PF",919,829,144,53,29,-477,-77,-149,81,7.02831894699129,1449000
"212","Kobe Bryant","SF",1161,247,184,62,13,-715,-49,-129,66,6.80839730631897,7500000
"213","Larry Nance Jr.","PF",349,312,44,54,23,-142,-15,-41,63,3.57881202465768,3700000
"214","Lou Williams","SG",1028,169,167,62,19,-410,-72,-107,67,6.46019813847817,1270964
"215","Marcelo Huertas","PG",237,90,182,26,7,-133,-2,-80,53,2.69455063129075,11217391
"216","Metta World Peace","SF",176,89,27,22,11,-122,-17,-15,35,2.92457897288602,3075880
"217","Nick Young","SG",392,97,34,23,7,-246,-13,-30,54,2.94007701780228,12235750
"218","Robert Sacre","C",87,72,14,4,10,-44,-13,-12,25,1.96308745839886,1.3e+07
"219","Roy Hibbert","C",481,398,95,32,110,-229,-28,-76,81,3.73599999139968,12403101
"220","Ryan Kelly","PF",152,121,20,13,10,-94,-17,-18,36,2.78268451786976,525093
"221","Tarik Black","C",133,157,16,14,18,-47,-26,-22,39,2.281873131809,845059
"222","Brandan Wright","PF",83,43,6,5,15,-17,-11,-10,12,4.16393413357818,5500000
"223","Bryce Cotton","PG",4,0,0,0,0,0,0,0,5,0.0475565675069317,293285
"224","Elliot Williams","PG",8,4,4,0,0,-8,-1,-1,5,0.876543130036695,135722
"225","JaMychal Green","PF",578,373,67,46,33,-265,-34,-83,78,4.16498829443983,845059
"226","Jarell Martin","PF",153,86,15,8,7,-62,-17,-19,27,3.01138297506099,1230840
"227","Jordan Adams","SG",7,2,3,3,0,-4,-2,-2,2,3.98475915992579,845059
"228","Jordan Farmar","PG",110,25,37,15,2,-58,0,-18,12,3.85635551454198,119462
"229","Marc Gasol","C",861,362,196,50,70,-379,-42,-118,52,8.05281041235521,525093
"230","Matt Barnes","SF",758,420,163,78,57,-429,-27,-121,76,5.65858581438049,1499187
"231","Mike Conley","PG",857,164,342,67,16,-402,-38,-84,56,5.88543506820118,4500000
"232","Russ Smith","PG",23,9,11,5,1,-15,-5,-7,15,1.24960248961576,16744218
"233","Tony Allen","SG",535,296,70,110,18,-254,-48,-78,64,6.0031084466973,5168539
"234","Vince Carter","SG",395,146,56,38,16,-210,-14,-35,60,3.38335894160819,4088091
"235","Xavier Munford","SG",80,31,22,13,3,-45,-7,-15,14,4.07140295682434,89588
"236","Zach Randolph","PF",1040,529,142,43,13,-476,-44,-105,68,6.62212017048968,9638555
"237","Amar'e Stoudemire","C",300,222,27,18,41,-96,-17,-47,52,2.87785955213213,1499187
"238","Beno Udrih","PG",158,63,90,11,0,-86,-2,-42,36,2.11686952200654,2170465
"239","Briante Weber","PG",2,1,1,0,0,0,0,0,1,0.524671472594938,43243
"240","Chris Andersen","C",13,9,3,1,3,-6,-1,-2,7,1.18442731858097,5e+06
"241","Chris Bosh","PF",1010,390,128,36,34,-409,-55,-78,53,7.72760822605804,22192730
"242","Dwyane Wade","SG",1409,302,344,79,42,-643,-84,-203,74,9.32125885808703,2e+07
"243","Gerald Green","SG",616,163,56,38,19,-357,-20,-46,69,3.78994186140668,1356000
"244","Goran Dragic","PG",1018,277,419,71,17,-458,-45,-185,72,6.05743780213785,14780000
"245","Hassan Whiteside","C",1040,865,30,44,269,-269,-115,-137,73,7.46571834732721,981348
"246","James Ennis","SF",0,0,1,0,0,0,0,0,3,0.0993375154775051,919623
"247","Jarnell Stokes","C",7,2,1,1,0,-2,-1,0,5,0.576409239452038,845059
"248","Joe Johnson","SF",321,68,86,21,2,-121,-8,-43,24,5.14619765164273,25309344
"249","Josh McRoberts","PF",150,105,81,18,7,-93,-12,-30,42,2.96041748880421,525093
"250","Josh Richardson","SG",341,107,73,36,25,-149,-21,-35,52,3.90405400712895,6899000
"251","Justise Winslow","SF",502,403,117,68,26,-267,-37,-95,78,4.32446967431479,1842000
"252","Luol Deng","PF",911,443,140,74,29,-406,-47,-81,74,6.00305737393232,2814000
"253","Mario Chalmers","PG",33,14,19,8,1,-22,-1,-9,6,3.73751093189728,3741480
"254","Tyler Johnson","SG",314,109,79,24,14,-125,-13,-47,36,4.74341282054239,845059
"255","Udonis Haslem","PF",59,75,14,5,2,-38,-4,-5,37,1.09271393913972,2854940
"256","Chris Copeland","PF",50,10,11,2,0,-34,-1,-6,24,0.903678862225231,1100000
"257","Damien Inglis","SF",36,31,10,6,3,-24,-1,-11,20,1.4048047721506,855000
"258","Giannis Antetokounmpo","PG",1350,612,345,94,113,-500,-113,-208,80,9.33635418034923,1953960
"259","Greg Monroe","C",1210,696,178,72,67,-450,-80,-129,79,6.75856480800154,16400000
"260","Greivis Vasquez","PG",130,47,91,10,0,-93,-4,-40,23,3.11948540613381,6600000
"261","Jabari Parker","PF",1070,395,130,69,29,-456,-53,-116,76,6.29289062711987,5152440
"262","Jerryd Bayless","SG",541,141,163,47,11,-252,-20,-73,52,5.21718561951319,3e+06
"263","John Henson","C",397,221,54,18,109,-127,-48,-64,57,3.98020460021975,981000
"264","Johnny O'Bryant","PF",200,176,32,18,8,-123,-13,-31,66,1.97234381501343,1035000
"265","Khris Middleton","SG",1434,302,331,131,19,-635,-35,-180,79,7.97229251123491,2870000
"266","Michael Carter-Williams","PG",623,276,281,80,41,-304,-56,-153,54,7.51097510698913,6331404
"267","Miles Plumlee","C",314,232,16,21,50,-93,-25,-40,61,2.52084922538262,5500000
"268","O.J. Mayo","SG",321,105,118,48,8,-202,-9,-72,41,5.1392850485489,1.1e+07
"269","Rashad Vaughn","SG",217,88,39,29,16,-185,-3,-28,70,2.05447211095326,1499187
"270","Steve Novak","PF",7,1,0,0,0,-4,0,0,3,0.44946418892337,4166886
"271","Tyler Ennis","PG",206,75,95,25,1,-103,-9,-46,46,2.23665429006686,1662360
"272","Adreian Payne","PF",132,111,29,16,11,-92,-9,-36,52,2.09446368724973,1938840
"273","Andrew Wiggins","SF",1675,292,164,78,46,-700,-135,-182,81,7.70987750515213,5758680
"274","Damjan Rudez","SF",75,20,11,3,1,-37,0,-13,33,0.821805709660668,1149500
"275","Gorgui Dieng","C",827,585,143,94,96,-271,-43,-140,82,5.8137823896602,1474440
"276","Greg Smith","PF",43,42,6,4,1,-14,-10,-7,18,1.80509531417268,247623
"277","Karl-Anthony Towns","C",1503,857,161,58,138,-528,-52,-183,82,7.64648663106278,16500000
"278","Kevin Garnett","PF",122,150,62,28,10,-61,-7,-16,38,3.04664219515235,19500000
"279","Nemanja Bjelica","PF",308,210,83,26,21,-125,-15,-47,60,3.17873164736895,1.3e+07
"280","Nikola Pekovic","C",54,21,11,1,0,-31,-4,-9,12,1.99374791163284,11250000
"281","Ricky Rubio","PG",766,326,658,162,10,-367,-48,-193,76,6.75073128128496,1e+06
"282","Shabazz Muhammad","SF",863,267,52,24,7,-364,-57,-70,82,3.51629107510278,1294440
"283","Tayshaun Prince","SF",221,147,73,36,13,-127,-6,-27,77,1.80499884703741,1499187
"284","Tyus Jones","PG",156,47,108,31,3,-100,-11,-33,37,2.63939669306615,1282080
"285","Zach LaVine","SG",1150,228,251,69,17,-526,-42,-155,82,6.01801581825445,2148360
"286","Alexis Ajinca","C",352,269,31,19,36,-165,-10,-54,59,2.93764071391445,4300000
"287","Alonzo Gee","SF",325,245,72,63,13,-123,-22,-55,73,2.90718885050967,1375000
"288","Anthony Davis","PF",1481,627,116,78,125,-576,-104,-121,61,11.2376836725398,7070730
"289","Bryce Dejean-Jones","SG",79,48,15,10,2,-41,-10,-11,14,4.03941045369861,281659
"290","Dante Cunningham","SF",484,236,77,42,33,-226,-25,-41,80,2.91941103256854,3e+06
"291","Eric Gordon","SG",686,99,121,43,14,-321,-14,-73,45,5.84639606172173,15514031
"292","Jordan Hamilton","SF",125,62,25,8,3,-67,-7,-17,11,5.52843534329404,4e+06
