"team","name","salary","position","age","height","weight","dob","country","experience","college","games","games_started","minutes_played","field_goals","field_goal_attempts","field_goal_pct","three_pointers","three_point_attempts","three_point_pct","two_pointers","two_point_attempts","two_point_pct","effective_field_goal_pct","free_throws","free_throw_attempts","free_throw_pct","offensive_rebounds","defensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","personal_fouls","points","outlier"
"NOP","Alonzo Gee",1375000,"SF",28,78,225,1987-05-29,"us","6","University of Alabama",73,38,1632,132,255,0.518,17,60,0.283,115,195,0.59,0.551,44,66,0.667,60,185,245,72,63,13,55,169,325,FALSE
"MIA","Amar'e Stoudemire",1499187,"C",33,82,245,1982-11-16,"us","13","",52,36,762,125,221,0.566,0,0,NA,125,221,0.566,0.566,50,67,0.746,65,157,222,27,18,41,47,92,300,FALSE
"BOS","Amir Johnson",1.2e+07,"PF",28,81,240,1987-05-01,"us","10","",79,76,1800,249,426,0.585,10,43,0.233,239,383,0.624,0.596,69,121,0.57,178,327,505,138,52,83,94,214,577,FALSE
"CLE","Anderson Varejao",10097129,"C",33,82,273,1982-09-28,"br","11","",31,0,310,32,76,0.421,0,1,0,32,75,0.427,0.421,16,21,0.762,24,67,91,20,11,5,16,35,80,TRUE
"DET","Andre Drummond",3272091,"C",22,83,279,1993-08-10,"us","3","University of Connecticut",81,81,2666,552,1060,0.521,2,6,0.333,550,1054,0.522,0.522,208,586,0.355,395,803,1198,67,119,112,155,245,1314,FALSE
"GSW","Andre Iguodala",11710456,"SF",32,78,215,1984-01-28,"us","11","University of Arizona",65,1,1732,176,368,0.478,54,154,0.351,122,214,0.57,0.552,51,83,0.614,52,211,263,219,73,19,79,102,457,FALSE
"SAS","Andre Miller",1896031,"PG",39,75,200,1976-03-19,"us","16","University of Utah",13,4,181,23,48,0.479,1,4,0.25,22,44,0.5,0.49,9,13,0.692,6,21,27,29,7,0,12,14,56,TRUE
"OKC","Andre Roberson",1210800,"SG",24,79,210,1991-12-04,"us","2","University of Colorado",70,70,1553,136,274,0.496,32,103,0.311,104,171,0.608,0.555,33,54,0.611,79,172,251,47,53,42,35,133,337,FALSE
"BRK","Andrea Bargnani",1362900,"C",30,84,245,1985-10-26,"it","9","",46,0,634,127,279,0.455,3,16,0.188,124,263,0.471,0.461,47,57,0.825,28,69,97,18,4,9,26,61,304,FALSE
"GSW","Andrew Bogut",1.2e+07,"C",31,84,260,1984-11-28,"au","10","University of Utah",70,66,1451,175,279,0.627,1,1,1,174,278,0.626,0.629,24,50,0.48,121,371,492,162,33,114,83,221,375,FALSE
"HOU","Andrew Goudelock",200600,"PG",27,75,200,1988-12-07,"us","2","College of Charleston",8,0,50,9,20,0.45,1,9,0.111,8,11,0.727,0.475,3,4,0.75,1,1,2,4,6,2,7,4,22,FALSE
"ORL","Andrew Nicholson",2380594,"PF",26,81,250,1989-12-08,"ca","3","St. Bonaventure University",56,0,823,146,310,0.471,41,114,0.36,105,196,0.536,0.537,51,65,0.785,34,167,201,25,10,22,41,69,384,FALSE
"MIN","Andrew Wiggins",5758680,"SF",20,80,199,1995-02-23,"ca","1","University of Kansas",81,81,2845,594,1294,0.459,57,190,0.3,537,1104,0.486,0.481,430,565,0.761,106,186,292,164,78,46,182,165,1675,FALSE
"TOR","Anthony Bennett",4597276,"PF",22,80,245,1993-03-14,"ca","2","University of Nevada, Las Vegas",19,0,84,8,27,0.296,3,14,0.214,5,13,0.385,0.352,9,10,0.9,6,17,23,0,5,0,4,8,28,TRUE
"LAL","Anthony Brown",7e+05,"SF",23,79,210,1992-10-10,"us","0","Stanford University",29,11,599,39,126,0.31,20,70,0.286,19,56,0.339,0.389,17,20,0.85,9,61,70,19,14,5,15,34,115,FALSE
"NOP","Anthony Davis",7070730,"PF",22,82,253,1993-03-11,"us","3","University of Kentucky",61,61,2164,560,1136,0.493,35,108,0.324,525,1028,0.511,0.508,326,430,0.758,130,497,627,116,78,125,121,148,1481,FALSE
"OKC","Anthony Morrow",3344000,"SG",30,77,210,1985-09-27,"us","7","Georgia Institute of Technology",68,6,926,136,333,0.408,79,204,0.387,57,129,0.442,0.527,29,39,0.744,10,52,62,24,22,5,17,64,380,FALSE
"DET","Anthony Tolliver",3e+06,"PF",30,80,240,1985-06-01,"us","7","Creighton University",72,5,1341,128,332,0.386,98,272,0.36,30,60,0.5,0.533,29,47,0.617,39,190,229,52,26,16,28,86,383,FALSE
"PHO","Archie Goodwin",1160160,"PG",21,77,200,1994-08-17,"us","2","University of Kentucky",57,13,1114,176,422,0.417,23,99,0.232,153,323,0.474,0.444,130,193,0.674,27,115,142,118,27,13,100,84,505,FALSE
"DET","Aron Baynes",6500000,"C",29,82,260,1986-12-09,"nz","3","Washington State University",81,1,1233,194,384,0.505,0,2,0,194,382,0.508,0.505,126,165,0.764,140,244,384,51,21,52,67,151,514,FALSE
"NYK","Arron Afflalo",8e+06,"SG",30,77,210,1985-10-15,"us","8","University of California, Los Angeles",71,57,2371,354,799,0.443,91,238,0.382,263,561,0.469,0.5,110,131,0.84,23,243,266,144,25,10,82,142,909,FALSE
"LAC","Austin Rivers",3100000,"SG",23,76,200,1992-08-01,"us","3","Duke University",67,7,1464,226,516,0.438,62,185,0.335,164,331,0.495,0.498,79,116,0.681,22,108,130,99,48,9,61,137,593,FALSE
"BOS","Avery Bradley",7730337,"SG",25,74,180,1990-11-26,"us","5","University of Texas at Austin",76,72,2536,456,1019,0.447,147,407,0.361,309,612,0.505,0.52,96,123,0.78,48,172,220,158,117,19,109,164,1155,FALSE
"DEN","Axel Toupane",148552,"SF",23,79,197,1992-07-23,"fr","0","",21,0,305,25,70,0.357,13,40,0.325,12,30,0.4,0.45,13,17,0.765,8,23,31,15,7,6,6,40,76,TRUE
"SAC","Ben McLemore",3156600,"SG",22,77,195,1993-02-11,"us","2","University of Kansas",68,53,1443,195,455,0.429,67,185,0.362,128,270,0.474,0.502,74,103,0.718,34,114,148,79,52,10,99,140,531,FALSE
"MIA","Beno Udrih",2170465,"PG",33,75,205,1982-07-05,"si","11","",36,5,587,66,152,0.434,11,33,0.333,55,119,0.462,0.47,15,17,0.882,6,57,63,90,11,0,42,40,158,FALSE
"TOR","Bismack Biyombo",3e+06,"C",23,81,255,1992-08-28,"cd","4","",82,22,1808,156,288,0.542,0,1,0,156,287,0.544,0.542,142,226,0.628,182,473,655,29,19,133,71,225,454,FALSE
"LAC","Blake Griffin",18907725,"PF",26,82,251,1989-03-16,"us","5","University of Oklahoma",35,35,1170,301,603,0.499,6,18,0.333,295,585,0.504,0.504,141,194,0.727,51,243,294,170,28,17,83,95,749,FALSE
"SAS","Boban Marjanovic",1200000,"C",27,87,290,1988-08-15,"rs","0","",54,4,508,105,174,0.603,0,0,NA,105,174,0.603,0.603,87,114,0.763,73,121,194,21,12,23,29,54,297,FALSE
"CHI","Bobby Portis",1391160,"PF",20,83,230,1995-02-10,"us","0","University of Arkansas",62,4,1102,186,436,0.427,16,52,0.308,170,384,0.443,0.445,48,66,0.727,123,214,337,52,25,22,54,100,436,FALSE
"BRK","Bojan Bogdanovic",3425510,"SF",26,80,216,1989-04-18,"ba","1","",79,39,2115,324,749,0.433,129,338,0.382,195,411,0.474,0.519,110,132,0.833,36,219,255,99,29,5,115,119,887,FALSE
"SAS","Boris Diaw",7e+06,"PF",33,80,250,1982-04-16,"fr","12","",76,4,1386,202,383,0.527,25,69,0.362,177,314,0.564,0.56,56,76,0.737,58,175,233,176,26,21,97,102,485,FALSE
"WAS","Bradley Beal",5694674,"SG",22,77,207,1993-06-28,"us","3","University of Florida",55,35,1708,359,799,0.449,105,271,0.387,254,528,0.481,0.515,135,176,0.767,41,147,188,162,54,11,112,117,958,FALSE
"MEM","Brandan Wright",5500000,"PF",28,82,210,1987-10-05,"us","7","University of North Carolina",12,2,212,35,52,0.673,0,0,NA,35,52,0.673,0.673,13,24,0.542,14,29,43,6,5,15,10,21,83,FALSE
"LAC","Branden Dawson",525093,"PF",22,78,225,1993-02-01,"us","0","Michigan State University",6,0,29,2,5,0.4,0,0,NA,2,5,0.4,0.4,1,1,1,2,2,4,0,0,1,0,2,5,FALSE
"LAL","Brandon Bass",3e+06,"PF",30,80,250,1985-04-30,"us","10","Louisiana State University",66,0,1342,174,317,0.549,0,2,0,174,315,0.552,0.549,125,148,0.845,104,181,285,74,33,55,42,125,473,FALSE
"DET","Brandon Jennings",8344497,"PG",26,73,170,1989-09-23,"us","6","",23,1,416,53,143,0.371,24,77,0.312,29,66,0.439,0.455,27,38,0.711,5,41,46,70,11,2,22,24,157,FALSE
"PHO","Brandon Knight",1.2e+07,"SG",24,75,189,1991-12-02,"us","4","University of Kentucky",52,50,1870,371,895,0.415,120,351,0.342,251,544,0.461,0.482,156,183,0.852,36,166,202,263,61,20,177,124,1018,FALSE
"GSW","Brandon Rush",1270964,"SG",30,78,220,1985-07-07,"us","7","University of Kansas",72,25,1055,111,260,0.427,65,157,0.414,46,103,0.447,0.552,18,28,0.643,21,160,181,57,20,23,33,57,305,FALSE
"CHO","Brian Roberts",2854940,"PG",30,73,173,1985-12-03,"us","3","University of Dayton",30,0,333,51,115,0.443,9,27,0.333,42,88,0.477,0.483,34,37,0.919,4,25,29,38,7,1,16,23,145,FALSE
"MIA","Briante Weber",43243,"PG",23,74,165,1992-12-29,"us","0","Virginia Commonwealth University",1,0,3,1,1,1,0,0,NA,1,1,1,1,0,0,NA,0,1,1,1,0,0,0,1,2,TRUE
"BRK","Brook Lopez",2e+07,"C",27,84,275,1988-04-01,"us","7","Stanford University",73,73,2457,591,1157,0.511,2,14,0.143,589,1143,0.515,0.512,317,403,0.787,204,369,573,147,58,124,175,215,1501,FALSE
"TOR","Bruno Caboclo",1524000,"SF",20,81,218,1995-09-21,"br","1","",6,1,43,1,12,0.083,1,7,0.143,0,5,0,0.125,0,0,NA,1,1,2,1,2,1,4,2,3,FALSE
"MEM","Bryce Cotton",293285,"PG",23,73,165,1992-08-11,"us","1","Providence College",5,0,6,2,2,1,0,0,NA,2,2,1,1,0,0,NA,0,0,0,0,0,0,0,0,4,TRUE
"NOP","Bryce Dejean-Jones",281659,"SG",23,78,209,1992-08-21,"us","0","Iowa State University",14,11,279,28,69,0.406,12,32,0.375,16,37,0.432,0.493,11,21,0.524,8,40,48,15,10,2,11,17,79,FALSE
"POR","C.J. McCollum",2525160,"SG",24,76,200,1991-09-19,"us","2","Lehigh University",80,80,2780,641,1431,0.448,197,472,0.417,444,959,0.463,0.517,187,226,0.827,47,212,259,341,97,23,196,187,1666,FALSE
"IND","C.J. Miles",4394225,"SF",28,78,225,1987-04-18,"us","10","",64,24,1464,259,634,0.409,142,387,0.367,117,247,0.474,0.521,93,124,0.75,25,150,175,63,53,29,70,142,753,FALSE
"ORL","C.J. Watson",5e+06,"PG",31,74,175,1984-04-17,"us","8","University of Tennessee",33,2,656,47,137,0.343,14,48,0.292,33,89,0.371,0.394,34,39,0.872,10,56,66,88,19,5,25,49,142,FALSE
"LAC","C.J. Wilcox",1159680,"SG",25,77,195,1990-12-30,"us","1","University of Washington",23,0,167,26,66,0.394,9,23,0.391,17,43,0.395,0.462,9,12,0.75,1,11,12,10,10,2,2,15,70,FALSE
"CHI","Cameron Bairstow",845059,"C",25,81,250,1990-12-07,"au","1","University of New Mexico",18,2,103,13,40,0.325,1,5,0.2,12,35,0.343,0.338,7,8,0.875,4,24,28,6,2,3,4,19,34,FALSE
"OKC","Cameron Payne",2021520,"PG",21,75,185,1994-08-08,"us","0","Murray State University",57,1,698,114,278,0.41,36,111,0.324,78,167,0.467,0.475,19,24,0.792,9,76,85,108,36,6,44,80,283,FALSE
"PHI","Carl Landry",6500000,"PF",32,81,248,1983-09-19,"us","8","Purdue University",36,12,569,139,250,0.556,6,13,0.462,133,237,0.561,0.568,67,91,0.736,49,97,146,32,12,9,22,69,351,FALSE
"NYK","Carmelo Anthony",22875000,"SF",31,80,240,1984-05-29,"us","12","Syracuse University",72,72,2530,567,1307,0.434,105,310,0.339,462,997,0.463,0.474,334,403,0.829,98,458,556,299,62,38,176,180,1573,FALSE
"SAC","Caron Butler",1499187,"SF",35,79,228,1980-03-13,"us","13","University of Connecticut",17,1,176,25,59,0.424,3,18,0.167,22,41,0.537,0.449,10,12,0.833,5,17,22,10,9,1,3,19,63,FALSE
"DAL","Chandler Parsons",15361500,"SF",27,82,230,1988-10-25,"us","4","University of Florida",61,51,1799,320,651,0.492,104,251,0.414,216,400,0.54,0.571,93,136,0.684,29,256,285,169,46,21,95,114,837,FALSE
"CLE","Channing Frye",7807579,"C",32,83,255,1983-05-17,"us","9","University of Arizona",26,3,446,71,161,0.441,43,114,0.377,28,47,0.596,0.575,11,14,0.786,12,81,93,26,8,8,13,56,196,FALSE
"DAL","Charlie Villanueva",1499187,"PF",31,83,232,1984-08-24,"us","10","University of Connecticut",62,4,665,125,327,0.382,47,172,0.273,78,155,0.503,0.454,22,24,0.917,24,128,152,24,18,15,31,71,319,FALSE
"IND","Chase Budinger",5258082,"SF",27,79,209,1988-05-22,"us","6","University of Arizona",49,2,729,81,194,0.418,20,69,0.29,61,125,0.488,0.469,34,48,0.708,31,90,121,49,29,9,31,46,216,TRUE
"MIA","Chris Andersen",5e+06,"C",37,82,245,1978-07-07,"us","13","Blinn College",7,1,36,4,10,0.4,2,5,0.4,2,5,0.4,0.5,3,4,0.75,3,6,9,3,1,3,2,4,13,FALSE
"MIA","Chris Bosh",22192730,"PF",31,83,235,1984-03-24,"us","12","Georgia Institute of Technology",53,53,1778,358,767,0.467,81,222,0.365,277,545,0.508,0.52,213,268,0.795,48,342,390,128,36,34,78,101,1010,FALSE
"MIL","Chris Copeland",1100000,"PF",31,81,239,1984-03-17,"us","3","University of Colorado",24,1,156,17,51,0.333,10,36,0.278,7,15,0.467,0.431,6,7,0.857,1,9,10,11,2,0,6,17,50,FALSE
"UTA","Chris Johnson",981348,"SF",25,78,206,1990-04-29,"us","3","University of Dayton",70,2,857,72,194,0.371,27,99,0.273,45,95,0.474,0.441,34,42,0.81,27,105,132,45,32,20,40,100,205,FALSE
"POR","Chris Kaman",5e+06,"C",33,84,265,1982-04-28,"us","12","Central Michigan University",16,2,112,20,43,0.465,1,4,0.25,19,39,0.487,0.477,3,3,1,7,17,24,11,1,1,8,15,44,FALSE
"BRK","Chris McCullough",1140240,"PF",20,83,200,1995-02-05,"us","0","Syracuse University",24,4,362,44,109,0.404,13,34,0.382,31,75,0.413,0.463,11,23,0.478,25,43,68,9,28,12,15,39,112,FALSE
"LAC","Chris Paul",21468696,"PG",30,72,175,1985-05-06,"us","10","Wake Forest University",74,74,2420,515,1114,0.462,122,329,0.371,393,785,0.501,0.517,294,328,0.896,39,271,310,738,152,13,194,185,1446,FALSE
"PHI","Christian Wood",305789,"PF",20,83,220,1995-09-27,"us","0","University of Nevada, Las Vegas",17,0,145,22,53,0.415,4,11,0.364,18,42,0.429,0.453,13,21,0.619,13,25,38,3,5,7,2,11,61,FALSE
"HOU","Chuck Hayes",83583,"C",32,78,240,1983-06-11,"us","10","University of Kentucky",2,0,24,1,2,0.5,0,0,NA,1,2,0.5,0.5,2,2,1,0,8,8,2,0,0,3,6,4,FALSE
"NYK","Cleanthony Early",845059,"SF",24,80,210,1991-04-17,"us","1","Wichita State University",17,2,154,12,40,0.3,4,15,0.267,8,25,0.32,0.35,3,4,0.75,4,22,26,6,2,3,9,16,31,FALSE
"POR","Cliff Alexander",525093,"PF",20,80,245,1995-11-16,"us","0","University of Kansas",8,0,36,5,10,0.5,0,0,NA,5,10,0.5,0.5,0,0,NA,2,4,6,0,1,2,1,1,10,FALSE
"HOU","Clint Capela",1242720,"C",21,82,240,1994-05-18,"ch","1","",77,35,1471,231,397,0.582,0,1,0,231,396,0.583,0.582,80,211,0.379,194,300,494,47,59,92,60,190,542,FALSE
"CHO","Cody Zeller",4204200,"C",23,84,240,1992-10-05,"us","2","Indiana University",73,60,1774,231,437,0.529,1,10,0.1,230,427,0.539,0.53,175,232,0.754,138,317,455,71,57,63,68,204,638,FALSE
"LAC","Cole Aldrich",1100600,"C",27,83,250,1988-10-31,"us","5","University of Kansas",60,5,800,134,225,0.596,0,0,NA,134,225,0.596,0.596,60,84,0.714,86,202,288,50,47,68,64,139,328,FALSE
"HOU","Corey Brewer",8200000,"SF",29,81,186,1986-03-05,"us","8","University of Florida",82,12,1669,212,552,0.384,61,224,0.272,151,328,0.46,0.439,105,140,0.75,42,157,199,109,84,19,78,168,590,FALSE
"PHO","Cory Jefferson",421449,"PF",25,81,218,1990-12-26,"us","1","Baylor University",8,0,50,9,22,0.409,0,1,0,9,21,0.429,0.409,4,6,0.667,6,10,16,0,0,1,0,8,22,FALSE
"TOR","Cory Joseph",7e+06,"SG",24,75,193,1991-08-20,"ca","4","University of Texas at Austin",80,4,2046,257,585,0.439,30,110,0.273,227,475,0.478,0.465,133,174,0.764,39,171,210,250,63,20,102,131,677,FALSE
"BOS","Coty Clarke",61776,"SF",23,79,232,1992-07-04,"us","0","University of Arkansas",3,0,6,2,4,0.5,2,2,1,0,2,0,0.75,0,0,NA,0,1,1,0,0,0,1,0,6,FALSE
"CHO","Courtney Lee",5675000,"SG",30,77,200,1985-10-03,"us","7","Western Kentucky University",28,28,845,98,220,0.445,31,79,0.392,67,141,0.475,0.516,23,26,0.885,10,77,87,60,33,12,23,55,250,FALSE
"CHI","Cristiano Felicio",525090,"C",23,82,275,1992-07-07,"br","0","",31,4,321,40,72,0.556,0,4,0,40,68,0.588,0.556,25,35,0.714,30,72,102,26,6,13,13,31,105,FALSE
"LAL","D'Angelo Russell",5103120,"PG",19,77,195,1996-02-23,"us","0","Ohio State University",80,48,2259,392,956,0.41,130,370,0.351,262,586,0.447,0.478,140,190,0.737,47,227,274,266,93,13,196,142,1054,FALSE
"OKC","D.J. Augustin",3e+06,"PG",28,72,183,1987-11-10,"us","7","University of Texas at Austin",34,0,519,46,121,0.38,24,61,0.393,22,60,0.367,0.479,26,34,0.765,5,38,43,66,13,2,30,41,142,FALSE
"CLE","Dahntay Jones",8819,"SF",35,78,225,1980-12-27,"us","11","Duke University",1,0,42,6,14,0.429,1,2,0.5,5,12,0.417,0.464,0,0,NA,1,4,5,2,1,2,0,6,13,FALSE
"POR","Damian Lillard",4236287,"PG",25,75,195,1990-07-15,"us","3","Weber State University",75,75,2676,618,1474,0.419,229,610,0.375,389,864,0.45,0.497,414,464,0.892,45,257,302,512,65,28,242,165,1879,FALSE
"MIL","Damien Inglis",855000,"SF",20,80,246,1995-05-20,"gf","0","",20,1,156,13,37,0.351,3,13,0.231,10,24,0.417,0.392,7,8,0.875,2,29,31,10,6,3,11,11,36,FALSE
"MIN","Damjan Rudez",1149500,"SF",29,82,228,1986-06-17,"hr","1","",33,0,277,25,62,0.403,17,50,0.34,8,12,0.667,0.54,8,8,1,5,15,20,11,3,1,13,33,75,FALSE
"DEN","Danilo Gallinari",1.4e+07,"SF",27,82,225,1988-08-08,"it","6","",53,53,1839,287,700,0.41,87,239,0.364,200,461,0.434,0.472,375,432,0.868,52,229,281,135,42,19,77,87,1036,FALSE
"SAS","Danny Green",1e+07,"SG",28,78,215,1987-06-22,"us","6","University of North Carolina",79,79,2062,211,561,0.376,116,349,0.332,95,212,0.448,0.48,34,46,0.739,48,255,303,141,79,64,75,141,572,FALSE
"NOP","Dante Cunningham",3e+06,"SF",28,80,230,1987-04-22,"us","6","Villanova University",80,46,1971,186,412,0.451,55,174,0.316,131,238,0.55,0.518,57,82,0.695,57,179,236,77,42,33,41,173,484,FALSE
"DEN","Darrell Arthur",2814000,"PF",27,81,235,1988-03-25,"us","6","University of Kansas",70,16,1516,221,489,0.452,45,117,0.385,176,372,0.473,0.498,40,53,0.755,86,207,293,96,53,48,66,185,527,FALSE
"SAC","Darren Collison",5013559,"PG",28,72,175,1987-08-23,"us","6","University of California, Los Angeles",74,15,2219,377,776,0.486,87,217,0.401,290,559,0.519,0.542,194,226,0.858,28,141,169,318,76,4,130,142,1035,FALSE
"DET","Darrun Hilliard",525093,"SG",22,78,205,1993-04-13,"us","0","Villanova University",38,2,383,52,131,0.397,19,50,0.38,33,81,0.407,0.469,29,40,0.725,5,40,45,27,9,1,19,28,152,FALSE
"BOS","David Lee",17595904,"PF",32,81,245,1983-04-29,"us","10","University of Florida",30,4,470,87,192,0.453,0,1,0,87,191,0.455,0.453,40,51,0.784,41,89,130,54,12,13,38,51,214,TRUE
"SAS","David West",1499000,"PF",35,81,250,1980-08-29,"us","12","Xavier University",78,19,1404,244,448,0.545,3,7,0.429,241,441,0.546,0.548,63,80,0.788,72,237,309,143,44,55,68,142,554,FALSE
"LAC","DeAndre Jordan",19500000,"C",27,83,265,1988-07-21,"us","7","Texas A&M University",77,77,2598,357,508,0.703,0,1,0,357,507,0.704,0.703,266,619,0.43,267,792,1059,90,51,177,107,207,980,FALSE
"WAS","DeJuan Blair",2e+06,"C",26,79,270,1989-04-22,"us","6","University of Pittsburgh",29,0,218,28,68,0.412,0,1,0,28,67,0.418,0.412,5,13,0.385,20,37,57,11,8,2,15,53,61,FALSE
"TOR","Delon Wright",1509360,"PG",23,77,183,1992-04-26,"us","0","University of Utah",27,1,229,36,80,0.45,5,13,0.385,31,67,0.463,0.481,26,35,0.743,8,29,37,31,8,3,16,7,103,FALSE
"TOR","DeMar DeRozan",9500000,"SG",26,79,221,1989-08-07,"us","6","University of Southern California",78,78,2804,614,1377,0.446,47,139,0.338,567,1238,0.458,0.463,555,653,0.85,64,285,349,315,81,21,175,167,1830,FALSE
"SAC","DeMarcus Cousins",14728844,"C",25,83,270,1990-08-13,"us","5","University of Kentucky",65,65,2246,601,1332,0.451,70,210,0.333,531,1122,0.473,0.477,476,663,0.718,158,589,747,214,101,92,249,236,1748,FALSE
"TOR","DeMarre Carroll",13500000,"SF",29,80,215,1986-07-27,"us","6","University of Missouri",26,22,786,105,270,0.389,46,118,0.39,59,152,0.388,0.474,30,50,0.6,31,91,122,27,44,6,28,63,286,FALSE
"ATL","Dennis Schroder",1763400,"PG",22,73,172,1993-09-15,"de","2","",80,6,1621,329,781,0.421,77,239,0.322,252,542,0.465,0.471,144,182,0.791,25,179,204,349,70,9,183,138,879,FALSE
"DAL","Deron Williams",1.1e+07,"PG",31,75,200,1984-06-26,"us","10","University of Illinois at Urbana-Champaign",65,63,2106,321,775,0.414,97,282,0.344,224,493,0.454,0.477,179,206,0.869,19,171,190,378,61,14,150,155,918,TRUE
"UTA","Derrick Favors",11933333,"PF",24,82,265,1991-07-15,"us","5","Georgia Institute of Technology",62,59,1983,418,811,0.515,0,4,0,418,807,0.518,0.515,180,254,0.709,169,334,503,94,74,91,104,150,1016,FALSE
"CHI","Derrick Rose",20093063,"PG",27,75,190,1988-10-04,"us","6","University of Memphis",66,66,2097,447,1048,0.427,44,150,0.293,403,898,0.449,0.448,142,179,0.793,46,179,225,311,44,14,175,84,1080,FALSE
"NYK","Derrick Williams",4900000,"SF",24,80,240,1991-05-25,"us","4","University of Arizona",80,9,1435,254,565,0.45,44,150,0.293,210,415,0.506,0.488,194,256,0.758,47,249,296,75,29,9,61,69,746,FALSE
"PHO","Devin Booker",2127840,"SG",19,78,206,1996-10-30,"us","0","University of Kentucky",76,51,2108,367,867,0.423,99,289,0.343,268,578,0.464,0.48,215,256,0.84,27,160,187,200,44,20,160,225,1048,FALSE
"DAL","Devin Harris",4053000,"PG",32,75,192,1983-02-27,"us","11","University of Wisconsin",64,0,1280,167,374,0.447,52,158,0.329,115,216,0.532,0.516,101,140,0.721,18,120,138,118,60,13,66,124,487,FALSE
"ORL","Devyn Marble",845059,"SG",23,78,200,1992-09-21,"us","1","University of Iowa",28,0,249,21,71,0.296,8,32,0.25,13,39,0.333,0.352,10,24,0.417,6,32,38,12,13,1,7,25,60,FALSE
"ORL","Dewayne Dedmon",947278,"C",26,84,245,1989-08-12,"us","2","University of Southern California",58,20,705,99,177,0.559,0,0,NA,99,177,0.559,0.559,57,76,0.75,67,161,228,13,22,46,32,109,255,FALSE
"OKC","Dion Waiters",5138430,"SG",24,76,225,1991-12-10,"us","3","Syracuse University",78,15,2152,282,706,0.399,86,240,0.358,196,466,0.421,0.46,112,157,0.713,36,166,202,154,81,15,120,143,762,FALSE
